branch,cutoff_date,area,region,first_date_disbursement,active_borrowers,active_agent,deliquency_rate, outstanding , weekly_disbursement , weekly_new_borrower_per_bp 
POINTID_99,2018-09-15,AREAID_17,REGION_JH,2018-08-18,79,1,0%,200,40,8
POINTID_25,2018-09-15,AREAID_20,REGION_JH,2017-06-10,1263,5,0%,2350,65,5
POINTID_38,2018-09-15,AREAID_1,REGION_JH,2017-08-12,1525,5,2.5%-5%,2900,115,3
POINTID_35,2018-09-15,AREAID_1,REGION_JH,2017-07-29,1515,5,5%-10%,2500,100,3
POINTID_28,2018-09-15,AREAID_20,REGION_JH,2017-06-03,979,3,2.5%-5%,1800,35,1
POINTID_89,2018-09-15,AREAID_11,REGION_JH,2018-07-28,130,2,0%,300,40,9
POINTID_50,2018-09-15,AREAID_29,REGION_JH,2017-09-09,1152,7,5%-10%,2450,30,2
POINTID_92,2018-09-15,AREAID_4,REGION_JH,2018-07-28,153,2,0%,350,80,15
POINTID_90,2018-09-15,AREAID_11,REGION_JH,2018-08-11,72,1,0%,150,100,38
POINTID_50,2018-09-08,AREAID_29,REGION_JH,2017-09-09,1150,6,2.5%-5%,2500,20,9
POINTID_28,2018-09-08,AREAID_20,REGION_JH,2017-06-03,983,3,2.5%-5%,1800,30,5
POINTID_52,2018-09-08,AREAID_29,REGION_JH,2017-09-09,1806,8,0%,3700,45,4
POINTID_43,2018-09-08,AREAID_29,REGION_JH,2017-09-09,1886,7,>10%,4150,5,2
POINTID_90,2018-09-08,AREAID_11,REGION_JH,2018-08-11,34,1,0%,50,20,8
POINTID_37,2018-09-08,AREAID_1,REGION_JH,2017-08-05,1496,5,2.5%-5%,2600,20,8
POINTID_51,2018-09-08,AREAID_29,REGION_JH,2017-09-09,1531,6,5%-10%,3450,45,3
POINTID_24,2018-09-08,AREAID_20,REGION_JH,2017-06-10,948,4,0%,1550,15,1
POINTID_99,2018-09-08,AREAID_17,REGION_JH,2018-08-18,64,2,0%,150,70,14
POINTID_36,2018-09-08,AREAID_1,REGION_JH,2017-08-12,1440,5,5%-10%,3050,80,4
POINTID_91,2018-09-08,AREAID_4,REGION_JH,2018-07-28,102,2,0%,250,30,13
POINTID_38,2018-09-08,AREAID_1,REGION_JH,2017-08-12,1524,5,2.5%-5%,2900,30,8
POINTID_25,2018-09-08,AREAID_20,REGION_JH,2017-06-10,1254,6,0%,2350,15,2
POINTID_35,2018-09-08,AREAID_1,REGION_JH,2017-07-29,1517,5,5%-10%,2500,110,5
POINTID_44,2018-09-08,AREAID_29,REGION_JH,2017-09-09,1587,7,5%-10%,3200,90,7
